
dlga_start:member_talk|什 么 ？
dlga_start:close_window.1|{s54}
dlga_prisoner_chat:lady_prisoner_chat_2|你 是 我 的 阶 下 囚 ， 女 士 。 你 为 什 么 会 拿 起 武 器 对 抗 我 ， 我 该 如 何 处 置 你 呢 ？
dlga_lady_prisoner_chat_2:do_lady_options|大 人 ， 我 也 是 身 不 由 己 ， 我 的 性 命 悬 在 别 人 手 上 。 我 祈 求 您 的 怜 悯 并 且 我 会 把 自 己 的 命 运 置 于 您 的 掌 控 之 中 。
dlga_member_chat:lady_member_talk|你 好 {reg63?大 人 :女 士 }。 感 谢 你 拯 救 我 ！
dlga_lady_member_talk:lady_member_options|欢 迎 。 我 能 为 你 做 些 什 么 ？
dlga_lady_member_options:do_lady_options|我 的 生 命 ， 虽 不 值 钱 ， 已 置 于 你 手 。
dlga_do_lady_options:lady_end_talk|别 担 心 ， 女 士 ， 我 会 放 了 你 的 。 ({s3}会 非 常 感 激 你 )
dlga_do_lady_options:lady_end_talk.1|我 将 拿 你 去 换 取 赎 金 。 ({s3}对 你 的 敌 意 将 会 增 加 )
dlga_do_lady_options:lady_end_talk.2|我 会 给 你 200第 纳 尔 的 装 备 费 用 ， 希 望 你 为 我 而 战 。
dlga_do_lady_options:lady_end_talk.3|我 们 等 等 再 谈 。
dlga_lady_end_talk:close_window|如 你 所 愿 。
dlga_start:close_window.2|这 个 人 没 空 搭 理 你 。
dlga_start:close_window.3|这 个 人 没 空 搭 理 你 。
dlga_start:magic_weapon_dialogue_1|旅 途 愉 快 ！ 什 么 风 把 你 吹 到 阿 齐 兹 的 矿 坑 这 里 来 的 ？
dlga_start:magic_weapon_3a|旅 途 愉 快 ！ 欢 迎 回 到 阿 齐 兹 的 矿 坑 ！
dlga_magic_weapon_dialogue_1:magic_weapon_2|十 分 抱 歉 ， 我 找 到 了 这 张 地 图 ， 就 来 寻 宝 。 你 是 谁 ， 那 个 疯 疯 癫 癫 的 老 家 伙 又 在 这 干 什 么 ？
