
fac_no_faction|无 阵 营 
fac_commoners|平 民 
fac_outlaws|不 法 之 徒 
fac_neutral|中 立 者 
fac_innocents|无 辜 者 
fac_merchants|商 人 
fac_dark_knights|黑 暗 骑 士 
fac_culture_1|烈 狮 
fac_culture_2|凛 鸦 
fac_culture_3|德 夏 
fac_culture_4|菲 尔 兹 威 
fac_culture_5|帝 国 
fac_culture_6|古 王 国 
fac_player_faction|玩 家 阵 营 
fac_player_supporters_faction|潘 德 王 国 
fac_kingdom_1|烈 狮 王 国 
fac_kingdom_2|凛 鸦 王 国 
fac_kingdom_3|德 夏 公 国 
fac_kingdom_4|菲 尔 兹 威 
fac_kingdom_5|巴 克 斯 帝 国 
fac_militia|民 兵 
fac_deserters|乱 军 
fac_mountain_bandits|迷 雾 山 强 盗 
fac_forest_bandits|绿 林 强 盗 
fac_rebel_peasants|农 民 反 抗 军 
fac_dshar_raiders|德 夏 掠 夺 者 
fac_noldor_elves|诺 多 精 灵 
fac_barclay|巴 克 利 
fac_cb5_background|身 世 仇 敌 
fac_mettenheim|梅 滕 海 姆 
fac_veccavia|菲 卡 维 亚 
fac_melitine|马 里 廷 帝 国 
fac_vanskerry|凡 斯 凯 瑞 入 侵 者 
fac_adventurers|冒 险 者 
fac_robber_knights|流 氓 骑 士 
fac_mett_renegades|梅 滕 海 姆 叛 军 
fac_jatu|迦 图 
fac_red_brotherhood|红 色 兄 弟 会 
fac_mystmountain|迷 雾 山 部 落 
fac_singalians|辛 加 尔 人 
fac_heretics|异 端 
fac_snake_cult|拜 蛇 教 
fac_inquisition|审 判 庭 
fac_dragon_knights|龙 骑 士 团 
fac_lion_knights|狮 骑 士 团 
fac_immortal_knights|不 朽 者 团 
fac_windriders_knights|御 风 者 团 
fac_valkyrie_knights|女 武 神 姊 妹 团 
fac_griffon_knights|狮 鹫 骑 士 团 
fac_falcon_knights|猎 鹰 骑 士 团 
fac_raven_knights|鸦 矛 骑 士 团 
fac_radiant_knights|光 辉 十 字 骑 士 团 
fac_clarion_knights|号 角 召 唤 游 侠 团 
fac_dawn_knights|黎 明 骑 士 团 
fac_ebony_knights|乌 木 护 手 骑 士 团 
fac_shadow_knights|暗 影 军 团 
fac_silvermist_knights|银 雾 游 侠 团 
fac_eventide_knights|黄 昏 骑 士 团 
fac_phoenix_knights|凤 凰 骑 士 团 
fac_shadowwolves_knights|幽 影 狼 群 
fac_scorpion_assassin_knights|天 蝎 刺 客 兄 弟 会 
fac_kraken_knights|克 拉 肯 战 士 教 团 
fac_noldor_castle|诺 多 
fac_thunder_knight|轰 雷 骑 士 团 
fac_kruus_guard|凯 芮 司 卫 队 
fac_forlorn_hope_regiment|决 死 队 
fac_rose_knights|玫 瑰 骑 士 团 
