
menu_start_game_0|你 好 ， 冒 险 者 ， 欢 迎 来 到 潘 德 的 预 言 的 世 界 ！^在 游 戏 开 始 前 ， 你 必 须 先 创 建 你 的 角 色 。^^请 务 必 谨 慎 抉 择 。 你 的 选 择 将 会 永 远 影 响 你 在 潘 德 世 界 的 发 展 与 机 遇 。 
mno_continue|继 续 … … 
mno_go_back|返 回 
menu_start_phase_2|蒙 神 的 庇 佑 ， 你 来 到 了 潘 德 ， 这 是 150年 来 纷 争 不 止 ， 饱 受 摧 残 的 一 块 土 地 。 你 已 接 下 了 一 个 艰 困 的 挑 战 :摆 脱 邪 恶 的 影 响 、 将 古 王 国 中 交 战 中 的 各 方 势 力 再 次 团 结 在 一 面 旗 帜 之 下 ， 为 潘 德 带 来 一 种 新 的 可 能 ， 正 如 同 那 个 疯 狂 的 流 浪 预 言 家 马 迪 甘 所 不 断 重 申 的 那 般 。 这 是 块 危 险 之 地 ， 大 大 小 小 的 势 力 为 了 霸 权 彼 此 战 乱 不 休 。 你 可 以 找 到 高 贵 且 荣 誉 的 事 迹 ， 也 会 遇 到 谎 言 及 诡 计 的 欺 瞒 。 这 块 土 地 上 有 勇 敢 的 骑 士 ， 也 有 无 情 的 刺 客 。 你 挥 别 你 的 过 去 ， 迎 向 新 生 。 潘 德 并 不 是 你 世 界 中 的 那 类 典 型 中 世 纪 国 家 。 不 论 男 女 在 成 败 方 面 的 机 会 皆 是 均 等 的 。 如 果 成 功 ， 你 的 命 运 将 截 然 不 同 ， 你 拥 有 无 穷 的 可 能 性 。 你 的 选 择 或 许 会 创 造 出 神 谕 所 示 之 外 的 光 景 ， 而 创 造 这 些 可 能 性 的 你 或 许 会 拯 救 我 们 所 有 人 。 根 据 你 听 说 过 关 于 潘 德 的 一 些 传 闻 ， 你 
mno_town_1|加 入 一 支 烈 狮 王 国 的 商 队 前 往 烈 狮 城 
mno_town_2|加 入 一 支 凛 鸦 王 国 的 商 队 前 往 凛 鸦 城 
mno_town_3|加 入 一 支 德 夏 公 国 的 商 队 前 往 托 巴 
mno_town_4|乘 坐 一 艘 菲 尔 兹 威 的 商 船 前 往 雾 笼 城 
mno_town_5|乘 坐 一 艘 帝 国 的 商 船 前 往 思 源 城 
mno_pop_cheat|直 接 开 始 ！ 【测 试】
mno_tutorial_cheat|测 试 ！ 
menu_start_game_3|选 择 剧 本 
menu_tutorial|你 进 入 了 训 练 场 ， 不 少 当 地 人 都 在 里 面 进 行 着 武 器 的 训 练 。 在 这 里 你 可 以 通 过 各 种 训 练 来 提 高 你 的 战 斗 技 巧 。 
mno_go_back_dot|返 回 
menu_reports|角 色 声 望 :{reg5} ^^荣 誉 :{reg6} ^已 消 耗 的 声 望 值 :{reg9} ^训 练 每 个 荣 誉 士 兵 所 消 耗 的 声 望 :{reg10} ^^部 队 士 气 :{reg8} ^部 队 人 数 上 限 :{reg7} ^^下 个 发 薪 日 : {s60}
mno_cheat_faction_orders|势 力 指 令 【测 试】
mno_action_view_troop_trees|兵 种 图 鉴 
mno_view_character_report|角 色 状 态 
mno_view_party_size_report|部 队 上 限 
mno_view_morale_report|部 队 士 气 
mno_view_weekly_budget_report|部 队 收 支 报 告 
mno_view_center_income_report|领 地 收 支 报 告 
mno_view_victory_condition_report|游 戏 进 程 
mno_view_achievement_report|查 看 成 就 
mno_status_check|NPC状 态 检 查 
mno_view_faction_relations_report|阵 营 关 系 
mno_view_npc_mission_report|同 伴 任 务 简 报 
mno_lord_relations|按 照 关 系 查 看 认 识 的 领 主 
mno_courtship_relations|求 爱 进 程 
mno_action_view_world_map|潘 德 地 图 
mno_resume_travelling|继 续 旅 程 
menu_custom_battle_scene|(NO TRANS)
mno_quick_battle_scene_1|快 速 战 斗 场 景 1
mno_quick_battle_scene_2|快 速 战 斗 场 景 2
mno_quick_battle_scene_3|快 速 战 斗 场 景 3
mno_quick_battle_scene_4|快 速 战 斗 场 景 4
mno_quick_battle_scene_5|快 速 战 斗 场 景 5
mno_go_back_a|返 回 
menu_custom_battle_end|战 斗 结 束 ， {s1} 我 方 杀 了 {reg5} 人 ， 敌 方 杀 了 {reg6} 人 。 你 杀 死 了 {reg7} 人 。 
menu_start_game_1|选 择 你 的 角 色 性 别 :
mno_start_male|男 性 
mno_start_female|女 性 (战 团 脸 )
mno_start_female_2|女 性 (改 版 脸 )
menu_start_character_1|自 出 生 至 今 ， 你 居 住 于 巴 克 利 ， 那 是 潘 德 西 南 方 一 块 遥 远 的 地 方 。 你 的 父 亲 曾 是 … … 
mno_start_noble|一 位 小 贵 族 
mno_start_merchant|一 位 商 船 船 长 
