
str_no_string|NO STRING!
str_empty_string|
str_yes|是 
str_no|否 
str_blank_string| 
str_noone|无 人 
str_s50_and_s51|{s50}和 {s51}
str_s52_and_s51|{s52}和 {s51}
str_s5_s_party|{s5}的 部 队 
str_given_by_s1_at_s2|在{s2}{s1}给 你 
str_given_by_s1_in_wilderness|在 野 外 {s1}给 你 
str_s7_raiders|{s7}掠 夺 者 
str_bandits_eliminated_by_another|难 对 付 的 强 盗 被 别 的 队 伍 消 灭 了 。 
str_msg_battle_won|战 斗 胜 利 ！ 按 TAB键 离 开 … … 
str_msg_battle_won0|你 的 队 伍 胜 利 了 ， 按 TAB键 离 开 … … 
str_msg_battle_won1|敌 人 被 击 败 了 ， 按 TAB键 离 开 … … 
str_msg_battle_won2|敌 人 被 消 灭 了 ， 按 TAB键 离 开 … … 
str_msg_battle_won3|你 赢 得 了 胜 利 ， 按 TAB键 离 开 … … 
str_msg_battle_won4|命 运 向 你 微 笑 ， 最 后 一 个 敌 人 已 经 倒 下 ， 按 TAB键 离 开 … … 
str_msg_battle_won5|所 有 敌 人 都 已 倒 下 ， 按 TAB键 离 开 … … 
str_msg_battle_won6|你 取 得 了 胜 利 ， 按 TAB键 离 开 … … 
str_msg_battle_won7|没 有 一 个 敌 人 能 挑 战 你 了 ， 按 TAB键 离 开 … … 
str_msg_battle_won8|胜 利 是 你 的 了 ， 按 TAB键 离 开 … … 
str_tutorial_map1|欢 迎 来 到 潘 德 的 预 言 v3.9 。 这 个 Mod是 设 计 给 已 经 在 骑 砍 世 界 中 征 战 多 年 的 游 戏 老 手 。 这 个 Mod的 难 度 并 不 简 单 。 对 已 经 准 备 好 体 验 的 你 ， 我 们 希 望 你 能 在 潘 德 的 预 言 中 得 到 乐 趣 。^^对 这 件 作 品 的 所 有 改 动 都 是 未 经 授 权 的 ， 我 方 保 留 所 有 版 权 。^-- Saxondragon 和 POP 开 发 组 。^^特 别 感 谢 为 了 大 家 的 乐 趣 贡 献 时 间 和 技 术 的 Gwythdarian (www.gwythdarian.com)上 的 人 们 。 
str_randomize|随 机 
str_charge|填 充 
str_color|颜 色 
str_flip_horizontal|水 平 翻 转 
str_flip_vertical|垂 直 翻 转 
str_hold_fire|停 止 射 击 
str_blunt_hold_fire|钝 器 /停 止 射 击 
str_tutorial_ammo_refilled|填 满 弹 药 
str_tutorial_failed|你 失 败 了 ， 不 过 不 要 紧 ， 小 心 地 跟 着 提 示 去 做 ， 你 就 能 在 下 一 次 完 成 得 更 好 ， 现 在 请 按 Tab键 来 回 到 选 单 ， 并 重 新 开 始 教 程 。 
str_finished|(完 成 )
str_delivered_damage|施 加 了 {reg60}点 伤 害 。 
str_archery_target_hit|距 离 :{reg61}码 ， 得 分 :{reg60}。 
str_use_baggage_for_inventory|战 场 中 的 行 李 位 于 你 的 起 始 位 置 ， 到 那 里 才 能 打 开 物 品 栏 。 
str_cant_use_inventory_now|不 能 在 这 里 打 开 物 品 栏 。 
str_cant_use_inventory_arena|不 能 在 这 里 打 开 物 品 栏 。 
str_cant_use_inventory_disguised|不 能 在 伪 装 时 打 开 物 品 栏 。 
str_cant_use_inventory_tutorial|在 训 练 营 不 能 打 开 物 品 栏 。 
str_1_denar|1第 纳 尔 
str_reg1_denars|{reg1}第 纳 尔 
str_january_reg1_reg2|{reg2}年 1月 {reg1}日 
str_february_reg1_reg2|{reg2}年 2月 {reg1}日 
str_march_reg1_reg2|{reg2}年 3月 {reg1}日 
str_april_reg1_reg2|{reg2}年 4月 {reg1}日 
str_may_reg1_reg2|{reg2}年 5月 {reg1}日 
str_june_reg1_reg2|{reg2}年 6月 {reg1}日 
str_july_reg1_reg2|{reg2}年 7月 {reg1}日 
str_august_reg1_reg2|{reg2}年 8月 {reg1}日 
str_september_reg1_reg2|{reg2}年 9月 {reg1}日 
str_october_reg1_reg2|{reg2}年 10月 {reg1}日 
str_november_reg1_reg2|{reg2}年 11月 {reg1}日 
str_december_reg1_reg2|{reg2}年 12月 {reg1}日 
str_town_nighttime|现 在 是 深 夜 ， 街 上 冷 清 清 的 。 
str_door_locked|门 锁 上 了 。 
str_castle_is_abondened|城 堡 里 似 乎 没 人 。 
str_town_is_abondened|城 市 里 无 人 驻 防 。 
str_place_is_occupied_by_player|这 里 被 你 自 己 的 部 队 把 守 着 。 
str_place_is_occupied_by_enemy|这 里 被 敌 人 把 守 着 。 
str_place_is_occupied_by_friendly|这 里 被 友 军 把 守 着 。 
str_do_you_want_to_retreat|你 确 定 要 撤 退 吗 ？ 
str_give_up_fight|放 弃 战 斗 ？ 
str_do_you_wish_to_leave_tutorial|你 想 要 离 开 教 程 吗 ？ 
