
ip_reference_buildings|指 南 :村 镇 建 筑 I
ip_reference_buildings_text|铁 匠 铺^可 建 筑 于 :所 有 领 地 。 基 础 花 费 :5000 。^管 家 技 能 :战 术 2， 交 易 3。^铁 匠 铺 增 加 5收 入 及 该 区 繁 荣 度 5%。^^设 立 稽 查 员^可 建 筑 于 :城 市 。 基 础 花 费 :7000。^管 家 技 能 :战 术 2， 侦 察 2。^设 立 稽 查 员 可 增 加 基 本 收 入 2、该 区 繁 荣 度 3% 、及 关 系 1点。^^大 教 堂^可 建 筑 于 :城 市 。 基 础 花 费 :20000。^管 家 技 能 :工 程 学 5， 统 御 5， 说 服 力 6。^大 教 堂 增 加 20收 入 、该 区 繁 荣 度 20%及 关 系 10点 。^^礼 拜 堂^可 建 筑 于 :城 市 、城 堡 。 基 础 花 费 :1000。^管 家 技 能 :说 服 力 3， 统 御 3。^礼 拜 堂 增 加 5收 入 。^^小 教 堂^可 建 筑 于 :所 有 领 地 。 基 础 花 费 :7000。^管 家 技 能 :说 服 力 5， 工 程 学 3， 统 御 5。^小 教 堂 增 加 5收 入 、该 区 繁 荣 度 10%及 关 系 5点 。 它 还 可 以 吸 引 更 多 贵 族 加 入 您 的 部 队 。^^地 区 巡 逻 队^可 设 立 于 :城 市 。 基 础 花 费 :800。^管 家 技 能 :侦 察 2， 跟 踪 2， 战 术 1。^地 区 巡 逻 队 增 加 基 本 收 入 1%、该 区 繁 荣 度 2%及 关 系 5点 。^^律 法 机 关^可 建 筑 于 :城 市 。 基 础 花 费 :8000。^管 家 技 能 :俘 虏 管 理 2， 战 术 4， 说 服 力 5。^律 法 机 关 增 加 5收 入 、该 区 繁 荣 度 10%及 关 系 5点 。^^轮 作 法^可 实 施 于 :村 庄 。 基 础 花 费 :5000。^管 家 技 能 :辎 重 管 理 4， 战 术 3。^轮 作 法 增 加 20收 入 及 该 区 繁 荣 度 5%。^^消 防 队^可 设 立 于 :所 有 领 地 。 基 础 花 费 :3000。^管 家 技 能 :向 导 2， 侦 察 2。^消 防 队 增 加 该 区 繁 荣 度 5%及 关 系 3点 。^^鱼 塘^可 建 筑 于 :村 庄 。 基 础 花 费 :6000。^管 家 技 能 :工 程 学 1， 侦 察 2。^鱼 塘 增 加 基 本 收 入 10及 该 区 繁 荣 度 10%。^^伐 木 队^可 设 立 于 :村 庄 。 基 础 花 费 :3000。^管 家 技 能 :跟 踪 4， 向 导 3。^组 建 伐 木 队 可 以 更 有 效 收 集 资 源 及 木 材 ， 这 增 加 5收 入 及 该 区 繁 荣 度 5%。^^草 药 师^可 设 立 于 :村 庄。 基 础 花 费 :5000。^管 家 技 能 :急 救 3， 疗 伤 3。^草 药 师 可 以 保 持 聚 落 的 健 康 、并 该 区 繁 荣 度 10%及 关 系 5点 。^^医 院^可 建 筑 于 :城 市 。 基 础 花 费 :10000。^管 家 技 能 :战 术 3， 手 术 5， 说 服 力 3。^医 院 增 加 5收 入 、该 区 繁 荣 度 10%及 关 系 5点 。^^狩 猎 小 屋^可 建 筑 于 :村 庄 。 基 础 花 费 :3000。^管 家 技 能 :跟 踪 3， 向 导 3。^狩 猎 小 屋 会 派 出 猎 人 小 队 ， 这 能 增 加 收 入 5及 该 区 繁 荣 度 10%。^^修 整 道 路^可 实 施 于 :所 有 领 地 。 基 础 花 费 :10000。^管 家 技 能 :工 程 学 3， 向 导 4。^修 整 道 路 能 增 加 基 本 收 入 5、该 区 繁 荣 度 20%、及 关 系 2点 。^^灯 夫^可 设 立 于 :城 市 。 基 础 花 费 :1000。^管 家 技 能 :向 导 2。^灯 夫 增 加 该 区 繁 荣 度 2%及 关 系 2点 。^^庄 园^可 建 筑 于 :村 庄 。 基 础 花 费 :8000。^管 家 技 能 :工 程 学 2。^可 以 在 庄 园 内 修 整 、增 加 该 区 繁 荣 度 10%及 基 本 收 入 10。^^市 场^可 建 筑 于 :城 堡 、 村 庄 。 基 础 花 费 :10000。^管 家 技 能 :说 服 力 2， 交 易 5， 掠 夺 2。^市 场 增 加 基 本 收 入 50 及 该 区 繁 荣 度 50%。^^驿 站^可 建 筑 于 :所 有 领 地 。 基 础 花 费 :4000。^管 家 技 能 :工 程 学 2， 向 导 2。^驿 站 的 成 立 可 以 令 居 民 在 发 现 敌 踪 后 在 第 一 时 间 通 知 您－ － 不 论 远 近 ， 并 增 加 关 系 5点 。^^矿 井^可 建 筑 于 :所 有 领 地 。 基 础 花 费 :3000。^管 家 技 能 :工 程 学 4， 战 术 3， 交 易 4。^矿 井 基 于 当 地 已 探 勘 矿 产 价 值 增 加 收 入 并 增 加 该 区 繁 荣 度 5%。^^修 道 院^可 建 筑 于 :所 有 领 地 。 基 础 花 费 :5000。^管 家 技 能 :说 服 力 4， 教 练 4。^修 道 院 增 加 5收 入 、该 区 繁 荣 度 5%及 关 系 5点 。^^行 业 公 会^可 设 立 于 :城 市 。 基 础 花 费 :15000。^管 家 技 能 :交 易 5， 战 术 5， 说 服 力 5。^行 业 公 会 增 加 基 本 收 入 50 及 该 区 繁 荣 度 25%。^^
ip_reference_orders|指 南 :创 建 骑 士 团 I
ip_reference_orders_text|龙 骑 士 团^条 件 :玩 家 是 凛 鸦 文 化 ， 荣 誉 15， 25000第 纳 尔^礼 堂 已 存 在 于 :长 歌 港^可 能 存 在 于 :凛 鸦 城^将 凛 鸦 境 骑 士 引 荐 为 龙 骑 士 ， 将 凛 鸦 境 铁 甲 卫 士 引 荐 为 龙 战 士^^狮 骑 士 团^^条 件 :玩 家 是 烈 狮 文 化 或 于 烈 狮 城 内 ， 荣 誉 10， 30000第 纳 尔^礼 堂 已 存 在 于 :烈 狮 城^可 能 存 在 于 :狮 湖 城^将 烈 狮 境 骑 士 引 荐 为 狮 骑 士 ， 将 烈 狮 境 武 装 步 兵 引 荐 为 狮 扈 从^^不 朽 者 团^条 件 :玩 家 是 帝 国 文 化 或 于 思 源 城 内 ， 荣 誉 10， 25000第 纳 尔^礼 堂 已 存 在 于 :思 源 城^可 能 存 在 于 :博 识 城^将 帝 国 骑 士 引 荐 为 帝 国 不 朽 者 ， 将 帝 国 军 团 步 兵 引 荐 为 帝 国 凡 卫^^御 风 者 团^条 件 :玩 家 是 德 夏 文 化 或 于 托 巴 内 ， 荣 誉 10， 25000第 纳 尔^礼 堂 已 存 在 于 :托 巴^可 能 存 在 于 :纳 尔 达^将 德 夏 贵 族 骑 兵 引 荐 为 德 夏 御 风 者 ， 将 德 夏 加 齐 掠 夺 者 引 荐 为 德 夏 绝 尘 者^^女 武 神 姊 妹 团^条 件 :玩 家 是 菲 尔 兹 威 文 化 ， 或 于 雾 笼 城 内 ， 荣 誉 10， 30000第 纳 尔^将 菲 尔 兹 威 队 长 引 荐 为 女 武 神 ， 将 菲 尔 兹 威 女 猎 手 引 荐 为 英 灵 女 战 士^^狮 鹫 骑 士 团^条 件 :潘 德 的 达 利 昂 爵 士 在 队 伍 中 、 或 玩 家 是 潘 德 文 化 并 拥 有 一 颗 龙 泪 宝 石 、 或 玩 家 收 到 了 "父 亲 的 信 "， 荣 誉 20， 25000第 纳 尔^将 潘 德 骑 士 引 荐 为 狮 鹫 骑 士 ， 将 潘 德 武 装 骑 兵 引 荐 为 狮 鹫 侍 从^^猎 鹰 骑 士 团^条 件 :厄 休 拉 夫 人 或 雷 恩 爵 士 在 队 伍 中 ， 荣 誉 15， 25000第 纳 尔^将 女 冒 险 家 引 荐 为 猎 鹰 骑 士 ， 将 女 冒 险 家 引 荐 为 猎 鹰 利 爪^可 能 存 在 于 :暗 隼 堡^^鸦 矛 骑 士 团^条 件 :玩 家 拥 有 晓 炉 城 ， 荣 誉 5， 25000第 纳 尔^礼 堂 已 存 在 于 :晓 炉 城^可 能 存 在 于 :峭 岩 湾^将 凛 鸦 境 骑 士 引 荐 为 鸦 矛 骑 士 ， 将 雇 佣 骑 手 引 荐 为 鸦 矛 佣 兵^^光 辉 十 字 骑 士 团^条 件 :玩 家 拥 有 博 识 城 ， 荣 誉 20， 25000第 纳 尔^帝 国 文 化 :将 帝 国 骑 士 引 荐 为 光 辉 十 字 骑 士 ， 其 他 文 化 :将 潘 德 骑 士 引 荐 为 光 辉 十 字 骑 士 ； 将 雇 佣 披 甲 弩 手 引 荐 为 光 辉 十 字 驱 疫 者^^号 角 召 唤 游 侠 团^条 件 :玩 家 是 烈 狮 文 化 或 玩 家 拥 有 长 河 镇 ， 荣 誉 10， 25000第 纳 尔^礼 堂 已 存 在 于 :长 河 镇^将 烈 狮 境 骑 士 引 荐 为 号 角 召 唤 游 骑 兵 ， 将 烈 狮 境 披 甲 长 弓 手 引 荐 为 长 河 镇 哨 兵^^
ip_reference_orders_1|指 南 :创 建 骑 士 团 II
ip_reference_orders_1_text|黎 明 骑 士 团^条 件 :玩 家 拥 有 光 啸 湾 ， 荣 誉 20， 25000第 纳 尔^礼 堂 已 存 在 于 :光 啸 湾^将 潘 德 骑 士 引 荐 为 黎 明 骑 士 ， 将 凡 斯 凯 瑞 勇 士 引 荐 为 黎 明 迅 龙^^乌 木 护 手 骑 士 团^条 件 :一 颗 龙 泪 宝 石 ， 荣 誉 10^可 能 存 在 于 :峭 岩 湾^将 潘 德 步 行 骑 士 引 荐 为 乌 木 护 手 骑 士 ， 将 潘 德 武 装 步 兵 引 荐 为 乌 木 战 锤 手^^暗 影 军 团^条 件 :一 颗 龙 泪 宝 石 ， 荣 誉 5， 20000第 纳 尔^礼 堂 已 存 在 于 :帝 临 港^将 帝 国 骑 士 引 荐 为 暗 影 百 夫 长 ， 将 帝 国 披 甲 长 枪 兵 引 荐 为 暗 影 步 战 兵^^银 雾 游 侠 团^条 件 :一 颗 龙 泪 宝 石 ， 荣 誉 20， 20000第 纳 尔^可 能 存 在 于 :使 坠 湾^将 潘 德 黑 铠 弓 箭 手 引 荐 为 银 雾 游 侠 ， 将 潘 德 重 装 矛 兵 引 荐 为 银 雾 长 戟 兵^^黄 昏 骑 士 团^条 件 :阿 利 斯 泰 爵 士 在 队 伍 中 ， 荣 誉 低 于 -19， 30000第 纳 尔^礼 堂 已 存 在 于 :辛 加 尔^将 潘 德 骑 士 引 荐 为 黄 昏 骑 士 ， 将 辛 加 尔 骑 手 引 荐 为 黄 昏 奴 从^^凤 凰 骑 士 团^条 件 :一 颗 龙 泪 宝 石 ， 荣 誉 15， 20000第 纳 尔^礼 堂 已 存 在 于 : 卡 伦 鹿 堡 或 马 拉 斯 堡 或 阿 美 拉 堡^将 帝 国 骑 士 引 荐 为 凤 凰 骑 士 ， 将 帝 国 骑 兵 引 荐 为 凤 凰 雏 翼^^幽 影 狼 群^条 件 :一 颗 龙 泪 宝 石 ， 荣 誉 10， 20000第 纳 尔^礼 堂 已 存 在 于 :沃 尔 汶 堡 或 萨 瓦 河 堡 或 奥 莱 加 堡^将 帝 国 骑 士 引 荐 为 幽 影 之 狼 ， 将 帝 国 弩 手 引 荐 为 幽 影 猎 手^^天 蝎 刺 客 兄 弟 会^条 件 :一 颗 龙 泪 宝 石 ， 荣 誉 5， 20000第 纳 尔^礼 堂 已 存 在 于 :艾 希 科 曼^将 德 夏 贵 族 骑 兵 引 荐 为 天 蝎 刺 客 ， 将 德 夏 加 齐 矛 兵 引 荐 为 天 蝎 鳌 尾^^克 拉 肯 战 士 教 团^条 件 :一 颗 龙 泪 宝 石 ， 荣 誉 15， 20000第 纳 尔^礼 堂 已 存 在 于 :风 屿 港^将 菲 尔 兹 威 队 长 引 荐 为 克 拉 肯 战 士 ， 将 菲 尔 兹 威 女 矛 兵 引 荐 为 风 暴 修 女^^轰 雷 骑 士 团^条 件 :玩 家 是 马 里 廷 文 化 ， 一 颗 龙 泪 宝 石 或 击 败 丝 西 娜 军 团 和 尤 瑞 艾 莉 军 团 ， 荣 誉 5， 30000第 纳 尔^将 马 里 廷 骑 士 引 荐 为 马 里 廷 轰 雷 骑 士 ， 将 马 里 廷 枪 骑 兵 引 荐 为 马 里 廷 甲 胄 骑 兵^^凯 芮 司 卫 队^条 件 :玩 家 是 女 性 角 色 ， 一 颗 龙 泪 宝 石 或 宝 黛 丝 在 队 伍 中 或 自 立 文 化 为 菲 卡 维 亚 文 化 ， 荣 誉 5， 20000第 纳 尔^将 菲 卡 维 亚 骑 士 引 荐 为 菲 卡 维 亚 血 盟 卫 士 ， 将 菲 卡 维 亚 哨 兵 引 荐 为 菲 卡 维 亚 宫 廷 射 手^^决 死 队^条 件 :玩 家 是 梅 滕 海 姆 文 化 ， 一 颗 龙 泪 宝 石 ， 25000第 纳 尔^将 梅 滕 海 姆 决 死 队 后 备 引 荐 为 梅 滕 海 姆 决 死 剑 士 ， 将 梅 滕 海 姆 常 备 弩 手 引 荐 为 梅 滕 海 姆 劲 射 军 士^注 意 :决 死 队 礼 堂 派 出 援 军 进 入 驻 军 的 速 度 较 其 他 骑 士 团 慢^^玫 瑰 骑 士 团^条 件 :^^通 过 【再 绽 玫 瑰】 支 线 ， 烈 狮 或 潘 德 文 化 ， 30000第 纳 尔^烈 狮 文 化 下 ， 将 烈 狮 境 骑 士 引 荐 为 玫 瑰 骑 士 ， 将 烈 狮 境 武 装 步 兵 引 荐 为 玫 瑰 军 士^其 他 文 化 下 ， 将 潘 德 骑 士 引 荐 为 玫 瑰 骑 士 ， 将 潘 德 武 装 步 兵 引 荐 为 玫 瑰 军 士^^玩 家 建 立 的 骑 士 团^条 件 :一 颗 龙 泪 宝 石 ， 荣 誉 30， 20000第 纳 尔^将 玩 家 所 采 用 文 化 的 贵 族 骑 士 引 荐 为 骑 士 团 骑 士 ， 将 烈 狮 境 武 装 步 兵 、 凛 鸦 境 武 装 步 兵 、 德 夏 勇 士 、 帝 国 披 甲 长 枪 兵 、 菲 尔 兹 威 重 装 斧 兵 、 潘 德 武 装 步 兵 、 马 里 廷 步 兵 、 菲 卡 维 亚 哨 兵 或 梅 滕 海 姆 常 备 步 兵 引 荐 为 骑 士 团 军 士^^
ip_reference_orders_2|指 南 :加 入 骑 士 团 
ip_reference_orders_2_text|共 性 条 件 :与 骑 士 团 关 系 不 为 负 ， 500声 望^^个 性 条 件 :^龙 骑 士 团 :荣 誉 15^狮 骑 士 团 :荣 誉 10^不 朽 者 团 :荣 誉 10^御 风 者 团 :荣 誉 10^女 武 神 姊 妹 团 :荣 誉 10^狮 鹫 骑 士 团 :荣 誉 20^猎 鹰 骑 士 团 :荣 誉 15^鸦 矛 骑 士 团 :荣 誉 5^光 辉 十 字 骑 士 团 :荣 誉 20^号 角 召 唤 游 侠 团 :荣 誉 10^黎 明 骑 士 团 :荣 誉 20^乌 木 护 手 骑 士 团 :荣 誉 5^暗 影 军 团 :荣 誉 10^银 雾 游 侠 团 :荣 誉 20^黄 昏 骑 士 团 :荣 誉 5^凤 凰 骑 士 团 :荣 誉 15^幽 影 狼 群 :荣 誉 10^天 蝎 刺 客 兄 弟 会 :荣 誉 5^克 拉 肯 战 士 教 团 :荣 誉 15^轰 雷 骑 士 团 :荣 誉 10^凯 芮 司 卫 队 :荣 誉 10^决 死 队 :荣 誉 10^玩 家 建 立 的 骑 士 团 :无 条 件^^
ip_morale|潘 德 :历 史 II
ip_morale_text|潘 德 立 国 213年^^在 遥 远 的 北 方 ， 大 海 的 彼 方 有 支 狂 放 好 战 的 凡 斯 凯 瑞 族 。 他 们 分 成 许 多 不 同 的 部 族 ， 亦 商 亦 盗 。 因 巴 克 斯 帝 国 的 消 亡 ， 许 多 服 役 中 的 凡 斯 凯 瑞 佣 兵 得 以 回 归 代 代 居 住 的 冰 封 海 岸 。 一 位 智 者 思 考 着 凡 斯 凯 瑞 的 未 来 时 ， 发 出 了 警 语 :“ 勇 者 溺 于 安 逸 之 时 ， 纷 争 与 敌 人 的 刀 锋 将 同 样 致 命 。 ”^当 潘 德 陷 入 纷 乱 的 消 息 传 到 北 方 时 ， 首 领 们 纷 纷 许 以 掠 夺 金 银 妇 女 ， 召 集 了 大 批 的 战 士 。 不 久 后 ， 劫 掠 船 发 现 潘 德 的 滨 海 地 区 是 块 充 满 黄 金 与 财 富 的 丰 饶 之 地 。 装 备 精 良 、 骁 勇 善 战 的 战 士 们 开 始 掠 夺 沿 海 的 城 市 与 村 庄 ， 仅 遭 遇 到 了 微 不 足 道 的 抵 抗 。 狮 骑 士 和 烈 狮 境 的 领 主 们 派 出 军 队 沿 着 海 岸 巡 逻 ， 严 防 突 击 。 然 而 ， 狡 诈 的 凡 斯 凯 瑞 劫 掠 者 们 仍 不 断 得 手 。 几 乎 无 力 自 卫 的 潘 德 沿 海 省 份 的 商 人 领 袖 们 只 能 向 凡 斯 凯 瑞 雅 尔 们 请 求 庇 护 与 同 盟 。^^起 初 ， 请 求 被 拒 绝 了 ， 但 当 条 件 增 加 到 包 含 潘 德 的 头 衔 与 土 地 时 ， 雅 尔 们 开 始 感 兴 趣 。 与 丰 饶 的 潘 德 土 地 相 比 ， 凡 斯 凯 瑞 的 土 地 更 显 得 寒 冷 与 贫 瘠 。 宜 人 的 气 候 、 拥 有 城 堡 － 甚 或 城 市 － 作 为 封 地 更 是 深 深 的 打 动 了 一 些 雅 尔 。 很 快 ， 在 财 富 的 诱 惑 之 下 ， 许 多 凡 斯 凯 瑞 家 族 离 开 了 故 土 并 迁 居 至 潘 德 沿 岸 。 部 分 加 入 了 潘 德 领 主 的 麾 下 ， 其 他 则 纷 纷 与 贵 族 家 庭 联 姻 。^凡 斯 凯 瑞 的 武 勇 文 化 与 风 俗 与 沿 岸 领 主 家 族 的 交 流 使 得 王 国 内 部 产 生 剧 变 。 仅 仅 数 代 ， 文 化 差 异 变 成 鸿 沟 ， 当 地 贵 族 纷 纷 断 绝 与 烈 狮 境 的 关 系 并 结 成 了 松 散 的 城 邦 联 盟 ， 统 称 为 菲 尔 兹 威 。^^潘 德 立 国 204年 到 245年^^密 谋 、 战 争 与 壮 举 不 断 上 演 ， 各 种 奸 恶 脸 孔 也 已 司 空 见 惯 。 有 故 事 提 到 一 个 名 为 迦 图 的 部 族 ， 脱 离 帝 国 与 奥 萨 将 军 的 掌 握 ， 最 后 成 为 了 潘 德 东 部 草 原 流 浪 的 一 支 游 牧 民 族 ； 也 有 狮 骑 士 团 － 潘 德 的 骑 士 团 之 一 － 的 往 事 ， 以 及 他 们 是 如 何 被 自 己 曾 经 的 一 员 背 叛 并 宣 布 为 叛 逆 ， 历 经 多 年 才 在 当 今 烈 狮 王 那 里 得 到 宽 恕 。 至 于 德 夏 的 故 事 则 得 花 费 大 量 篇 幅 来 描 写 :一 支 游 牧 民 族 演 变 为 一 个 集 军 事 经 济 为 一 体 的 集 团 ， 最 终 却 发 现 最 大 的 敌 人 乃 是 自 己 人 。 正 如 那 些 迷 人 的 情 节 那 般 ， 古 老 的 诺 多 与 他 们 强 大 的 武 器 与 魔 法 改 变 了 许 多 冒 险 者 的 人 生 。 对 我 而 言 ， 马 迪 甘 的 故 事 尤 其 引 人 入 胜 :一 个 四 处 游 历 的 神 秘 主 义 者 预 言 将 有 一 位 英 雄 一 统 潘 德 并 重 建 古 老 王 国 。 而 他 本 人 的 事 迹 也 已 堪 比 英 雄 :为 宣 讲 真 理 ， 他 因 坚 持 自 己 的 理 念 而 被 处 死 。^^
