
imod_plain|%s
imod_cracked|开 裂 的 %s
imod_rusty|生 锈 的 %s
imod_bent|弯 曲 的 %s
imod_chipped|缺 口 的 %s
imod_battered|磨 损 的 %s
imod_poor|劣 质 的 %s
imod_crude|粗 糙 的 %s
imod_old|旧 %s
imod_cheap|便 宜 的 %s
imod_fine|优 质 的 %s
imod_well_made|精 良 的 %s
imod_sharp|锋 利 的 %s
imod_balanced|平 衡 的 %s
imod_tempered|回 火 的 %s
imod_deadly|致 命 的 %s
imod_exquisite|精 致 %s
imod_masterwork|极 品 %s
imod_heavy|重 %s
imod_strong|坚 硬 的 %s
imod_powerful|有 力 的 %s
imod_tattered|破 烂 的 %s
imod_ragged|破 旧 的 %s
imod_rough|粗 糙 的 %s
imod_sturdy|结 实 的 %s
imod_thick|厚 %s
imod_hardened|加 硬 %s
imod_reinforced|加 强 %s
imod_superb|华 丽 %s
imod_lordly|豪 华 %s
imod_lame|瘸 腿 %s
imod_swaybacked|背 伤 %s
imod_stubborn|倔 强 的 %s
imod_timid|胆 小 的 %s
imod_meek|温 顺 的 %s
imod_spirited|活 泼 的 %s
imod_champion|一 流 %s
imod_fresh|新 鲜 %s
imod_day_old|隔 夜 的 %s
imod_two_day_old|隔 两 夜 的 %s
imod_smelling|臭 %s
imod_rotten|烂 %s
imod_large_bag|一 大 袋 %s
