
p_zendar|禅 达　
p_town_1|雾 笼 城　
p_town_2|光 啸 湾　
p_town_3|博 识 城　
p_town_4|长 河 镇　
p_town_5|思 源 城　
p_town_6|烈 狮 城　
p_town_7|狮 湖 城　
p_town_8|凛 鸦 城　
p_town_9|晓 炉 城　
p_town_10|托 巴　
p_town_11|使 坠 湾　
p_town_12|风 屿 港　
p_town_13|长 歌 港　
p_town_14|辛 加 尔　
p_town_15|帝 临 港　
p_town_16|峭 岩 湾　
p_town_17|纳 尔 达　
p_town_18|艾 希 科 曼　
p_castle_1|卡 伦 鹿 堡　
p_castle_2|萨 菲 德 城 塞　
p_castle_3|龙 爪 崖 堡　
p_castle_4|夜 衡 堡　
p_castle_5|高 崖 堡　
p_castle_6|达 贡 堡　
p_castle_7|高 隘 要 塞　
p_castle_8|芬 布 雷 堡　
p_castle_9|沃 尔 汶 堡　
p_castle_10|铁 橡 堡　
p_castle_11|长 须 城 塞　
p_castle_12|安 森 城 塞　
p_castle_13|凯 尔 莱 丹 堡　
p_castle_14|马 拉 斯 堡　
p_castle_15|萨 瓦 河 堡　
p_castle_16|阿 美 拉 堡　
p_castle_17|塞 都 重 镇　
p_castle_18|奥 登 堡　
p_castle_19|银 刃 堡 垒　
p_castle_20|迷 沼 堡　
p_castle_21|雷 拉 要 塞　
p_castle_22|殉 道 者 要 塞　
p_castle_23|白 鹿 堡　
p_castle_24|凯 涅 堡　
p_castle_25|长 啸 堡　
p_castle_26|七 岔 要 塞　
p_castle_27|鹰 爪 堡　
p_castle_28|奥 莱 加 堡　
p_castle_29|雄 心 堡　
p_castle_30|圣 战 堡　
p_castle_31|勇 盾 堡　
p_castle_32|努 达 堡　
p_castle_33|盾 风 堡 垒　
p_castle_34|刚 德 斯 城 塞　
p_castle_35|哈 林 哥 斯 堡　
p_castle_36|罗 尔 夫 孙 堡　
p_castle_37|暗 隼 堡　
p_castle_38|图 尔 达 要 塞　
p_castle_39|秘 角 要 塞　
p_castle_40|舍 尔 城 塞　
p_village_1|雅 拉 加 尔　
p_village_2|比 格 伦　
p_village_3|短 嚎 村　
p_village_4|诺 玛　
p_village_5|库 鲁 姆　
p_village_6|爱 米 林　
p_village_7|阿 密 尔　
p_village_8|拉 夫 散 赞　
p_village_9|巴 甫 伦　
p_village_10|芬 布 雷　
p_village_11|德 罗 希　
p_village_12|伊 美 尔　
p_village_13|诡 狐 镇　
p_village_14|希 斯 特 罗 姆　
p_village_15|阿 兹 哥 德　
p_village_16|夏 普 斯 特　
p_village_17|马 赞　
p_village_18|哥 斯 布 尔　
p_village_19|哈 嫩　
p_village_20|阿 斯 卢 姆　
p_village_21|巴 泽 克　
p_village_22|鹿 阶 村　
p_village_23|马 丹　
p_village_24|鲁 迪　
p_village_25|鹿 心 村　
p_village_26|培 刚 德　
p_village_27|格 兰 梅 尔　
p_village_28|方 达 尔　
p_village_29|布 尤 林　
p_village_30|卢 瓦 尔　
p_village_31|断 珀 村　
p_village_32|厄 米 内 德　
p_village_33|阿 德 南 赫 尔　
p_village_34|艾 勒 代 葛　
p_village_35|栖 鹿 村　
p_village_36|杰 耶 克　
p_village_37|阿 达 库 鲁 姆　
p_village_38|伊 碧 恩　
p_village_39|莱 芜 伦　
p_village_40|塞 伦　
p_village_41|杜 根　
p_village_42|尚 杜 尔　
p_village_43|加 辛　
p_village_44|科 哥 希　
p_village_45|巴 鲁 格　
p_village_46|菲 德 讷　
p_village_47|布 雷 特 汶　
p_village_48|维 达　
p_village_49|提 斯 摩　
p_village_50|橘 门 村　
p_village_51|尤 鲁　
p_village_52|米 安 丹　
p_village_53|巴 兰 利　
p_village_54|佩 恩　
p_village_55|奥 林　
p_village_56|芬 拉 德　
p_village_57|鸦 驻 村　
p_village_58|维 赞　
p_village_59|雅 兴　
p_village_60|塔 尔 博 亚　
p_village_61|艾 德 伦　
p_village_62|瑞 巴 奇　
p_village_63|奎 伊　
p_village_64|瑟 林 迪 尔　
p_village_65|贝 蒙 法 莱　
p_village_66|费 斯 德 那　
p_village_67|特 班 达　
p_village_68|希 赫 巴 沙　
p_village_69|克 温　
p_village_70|德 瑞 格 森　
p_village_71|特 鲁 布 伦　
p_village_72|德 拉 哈 霍 姆　
p_village_73|齐 扎　
p_village_74|远 乡 村　
p_village_75|克 拉 文 达 恩　
p_village_76|弗 莱 彻　
p_village_77|瑞 兹　
p_village_78|塞 伦 米 斯　
p_village_79|乌 苏　
p_village_80|卡 维 莱 德　
p_village_81|欧 达 桑　
p_village_82|特 拉 格 玛　
p_village_83|加 哈 尔　
p_village_84|车 勒 兹　
p_village_85|依 斯 摩 罗 拉　
p_village_86|贝 尔 布 克　
p_village_87|泰 拉　
p_village_88|图 尔 布 克　
p_village_89|阿 乎 恩　
p_village_90|沃 尔 汶　
p_salt_mine|阿 尔 － 阿 齐 兹 的 隐 藏 矿 坑　
