
pt_none|无 
pt_rescued_prisoners|被 救 俘 虏 
pt_enemy|敌 人 
pt_hero_party|英 雄 部 队 
pt_village_defenders|村 庄 卫 队 
pt_cattle_herd|牛 群 
pt_looters|不 法 之 徒 
pt_militia|民 兵 巡 逻 队 
pt_steppe_bandits|响 马 
pt_forest_bandits|绿 林 强 盗 
pt_mountain_bandits|山 贼 
pt_sea_raiders|凡 斯 凯 瑞 掠 夺 小 队 
pt_snake_bandits|拜 蛇 教 小 队 
pt_forest_outcasts|土 匪 团 伙 
pt_sea_raider_army|凡 斯 凯 瑞 大 军 
pt_omen_seekers|预 兆 搜 寻 者 
pt_heretics|异 端 信 徒 
pt_heretics_army|异 端 大 军 
pt_snake_cult|拜 蛇 教 小 队 
pt_snake_cult_warband|拜 蛇 教 战 队 
pt_snake_cult_army|拜 蛇 教 大 军 
pt_azi_death_cult|阿 兹 达 哈 卡 死 亡 崇 拜 者 
pt_mystmountain_raiders|迷 雾 山 入 侵 者 
pt_mystmountain_army|迷 雾 山 大 军 
pt_jatu_nomads|迦 图 劫 掠 队 
pt_jatu_warband|迦 图 战 队 
pt_jatu_army|迦 图 大 军 
pt_red_brotherhood|红 色 兄 弟 会 
pt_inquisition_patrol|审 判 庭 巡 逻 队 
pt_inquisition_warband|审 判 庭 战 团 
pt_inquisition_army|审 判 庭 神 圣 军 团 
pt_fadventurers|冒 险 姐 妹 团 
pt_adventurers|冒 险 团 
pt_peasant_army|农 民 反 抗 军 
pt_merc_barclay|巴 克 利 冒 险 征 服 者 
pt_merc_generic|佣 兵 团 
pt_merc_mettenheim|梅 滕 海 姆 远 征 军 
pt_merc_freikorps_mettenheim|梅 滕 海 姆 自 由 军 团 
pt_melitine_medium_spawn|马 里 廷 先 遣 队 
pt_merc_jatu|迦 图 雇 佣 兵 
pt_merc_vanskerry|凡 斯 凯 瑞 佣 兵 团 
pt_merc_veccavian|玻 西 浓 姐 妹 团 
pt_merc_singalian|辛 加 尔 佣 兵 团 
pt_slaver_singalian|辛 加 尔 贩 奴 团 
pt_player_merc_mettenheim|炽 热 钢 尘 军 团 
pt_player_merc_mettenheim_2|炽 热 钢 尘 军 团 
pt_player_merc_veccavian|菲 卡 维 亚 背 叛 者 
pt_player_merc_barclay|第 一 皇 家 卫 队 
pt_player_merc_melitine|萨 尔 诺 征 战 队 
pt_player_merc_marleons|狮 湖 城 第 一 旗 卫 队 
pt_player_merc_unicorns|提 摩 西 爵 士 骑 士 战 团 
pt_player_merc_red_brotherhood|罗 塔 里 欧 兄 弟 团 
pt_player_merc_red_brotherhood_2|罗 塔 里 欧 兄 弟 团 
pt_player_merc_snowlions|雪 狮 子 军 团 
pt_player_merc_singalians|弗 鲁 兹 的 辛 加 尔 贩 奴 团 
pt_player_merc_jatu|因 达 尔 天 选 军 团 
pt_player_merc_generic|自 由 佣 兵 团 
pt_player_merc_cheaters|骗 子 安 迪 的 诈 骗 团 伙 
pt_stronghold_patrol|大 本 营 骑 士 巡 逻 队 
pt_ren_knights|叛 变 骑 士 
pt_cb5_results|正 在 逃 跑 的 敌 人 
pt_noldor_elves|诺 多 游 侠 小 队 
pt_errant_knights|游 荡 骑 士 
pt_dread_legion_patrol|恐 惧 军 团 巡 逻 队 
pt_eyegrim_patrol|艾 格 雷 姆 恶 魔 先 遣 队 
pt_wolfbode_patrol|沃 夫 伯 德 巡 逻 队 
pt_three_seers_patrol|三 先 知 巡 逻 队 
pt_inquisitor_rasmus_patrol|正 理 祈 求 者 
pt_wolfbode|“ 沃 夫 伯 德 ” 杀 人 团 
pt_dread_legion|恐 惧 军 团 
pt_jatu_k_juda|“ 破 坏 者 ” 朱 达 军 团 
pt_jatu_zulkar|“ 军 阀 ” 扎 卡 尔 军 团 
pt_eyegrim|“ 吞 噬 者 ” 艾 格 雷 姆 大 军 
pt_brouhaha|“ 喧 闹 者 ” 阿 拉 里 克 酒 鬼 团 
pt_burilgi_the_usurper|“ 篡 位 者 ” 布 里 吉 马 队 
pt_oswald|弗 勒 的 欧 斯 伍 德 冒 险 团 
pt_griffonsword|狮 鹫 之 剑 冒 险 团 
pt_ironsword|“ 铁 剑 ” 库 丹 冒 险 团 
pt_shalavan|沙 拉 凡 谢 赫 马 队 
pt_boristheraven|“ 乌 鸦 爵 士 ” 波 里 斯 
pt_three_seers|“ 三 先 知 ” 女 巫 团 
pt_noldor_lord_1|诺 多 领 主 阿 尔 达 利 安 
pt_noldor_lord_2|诺 多 领 主 伊 斯 兰 迪 尔 
pt_syla_uzas|希 拉 · 尤 扎 斯 叛 变 骑 士 团 
pt_mett_obrist|海 因 里 希 步 兵 团 
pt_vecc_verante|叛 逃 女 巫 猎 杀 团 
pt_barclay_rufio|第 三 比 利 亚 维 西 奥 萨 佣 兵 
pt_melitine_kaspax|马 里 廷 侵 略 军 
pt_inquisitor|圣 裁 官 拉 斯 穆 · 德 法 提 卡 
pt_madame_de_pompadour|庞 帕 多 夫 人 
pt_refugees|难 民 
pt_refugees_guarded|武 装 难 民 
pt_deserters|乱 军 
pt_merchant_caravan|商 人 商 队 
pt_troublesome_bandits|难 对 付 的 强 盗 
pt_bandits_awaiting_ransom|等 待 赎 金 的 强 盗 
pt_kidnapped_girl|被 绑 架 的 女 孩 
pt_village_farmers|村 民 
pt_spy_partners|不 起 眼 的 旅 行 者 
pt_runaway_serfs|逃 跑 农 奴 
pt_spy|普 通 的 市 民 
pt_sacrificed_messenger|被 牺 牲 的 信 差 
pt_jatu_quest_army|迦 图 掠 夺 队 
pt_forager_party|征 粮 队 
pt_scout_party|侦 察 队 
pt_patrol_party|巡 逻 队 
pt_messenger_party|信 使 
pt_raider_party|突 袭 队 
pt_raider_captives|猎 俘 队 
pt_kingdom_caravan_party|商 队 
pt_prisoner_train_party|运 俘 队 
pt_default_prisoners|逃 跑 俘 虏 
pt_routed_warriors|溃 军 
pt_center_reinforcements|增 援 部 队 
pt_kingdom_hero_party|玩 家 战 队 
pt_kingdom_1_reinforcements_a|烈 狮 王 国 征 兵 模 板 a 
pt_kingdom_1_reinforcements_b|烈 狮 王 国 征 兵 模 板 b 
pt_kingdom_1_reinforcements_c|烈 狮 王 国 征 兵 模 板 c 
pt_kingdom_2_reinforcements_a|凛 鸦 王 国 征 兵 模 板 a 
pt_kingdom_2_reinforcements_b|凛 鸦 王 国 征 兵 模 板 b 
