
qst_deliver_message|送 信 给 {s13} 
qst_deliver_message_to_enemy_lord|送 信 给 {s13} 
qst_raise_troops|培 养 {reg1}名 {s14} 
qst_escort_lady|护 送 {s13} 去 {s14} 
qst_deal_with_bandits_at_lords_village|从 强 盗 手 里 解 救 {s15} 
qst_collect_taxes|到 {s3}征 税 
qst_hunt_down_fugitive|追 捕 {s4} 
qst_kill_local_merchant|杀 掉 {s3} 的地 方 商 人 
qst_bring_back_runaway_serfs|追 回 逃 跑 的 农 奴 
qst_follow_spy|跟 踪 准 备 去 碰 头 的 间 谍 
qst_capture_enemy_hero|抓 捕 {s13} 的 一 个 领 主 
qst_lend_companion|把 你 的 同 伴 {s3} 借 给 {s9} 
qst_collect_debt|讨 要 {s3} 欠 {s9} 的 借 款 
qst_incriminate_loyal_commander|控 告 {s13} 的 忠 心 指 挥 官 {s16} 
qst_meet_spy_in_enemy_town|与 在 {s13} 的 间 谍 碰 头 
qst_capture_prisoners|抓 捕 {reg1}个 {s3}俘 虏 
qst_lend_surgeon|把 你 的 外 科 医 生 {s3}借 给 {s1} 
qst_follow_army|跟 随 {s9}的 部 队 
qst_report_to_army|向 元 帅 {s13}报 告 情 况 
qst_deliver_cattle_to_army|把 {reg3}头 牛 带 给 {s13} 
qst_join_siege_with_army|参 加 {s14} 的 围 城 战 
qst_screen_army|掩 护 {s13} 的 军 队 前 进 
qst_scout_waypoints|侦 察 {s13}， {s14}和 {s15} 
qst_rescue_lord_by_replace|从 {s14}解 救 {s13} 
qst_deliver_message_to_prisoner_lord|送 信 给 {s14}的 {s13} 
qst_duel_for_lady|与 {s13}决 斗 
qst_duel_courtship_rival|与 {s13}决 斗 （可 选 择） 
qst_duel_avenge_insult|与 {s13}决 斗 
qst_move_cattle_herd|赶 牛 到 {s13} 
qst_escort_merchant_caravan|护 送 商 队 去 {s8} 
qst_deliver_wine|捎 带 {reg5}单 位 的 {s6}到 {s4} 
qst_troublesome_bandits|解 决 难 对 付 的 强 盗 
qst_kidnapped_girl|从 强 盗 那 儿 赎 回 女 孩 
qst_persuade_lords_to_make_peace|确 保 两 个 领 主 不 反 对 和 平 
qst_deal_with_looters|解 决 劫 匪 
qst_deal_with_night_bandits|解 决 暗 夜 强 盗 
qst_deliver_grain|为 {s3}筹 集 小 麦
qst_deliver_cattle|筹 集 {reg5}头 牛 给 {s3} 
qst_train_peasants_against_bandits|训 练 农 民 对 抗 {s13}的 强 盗 
qst_rescue_daughter|营 救 {s3} 村 长 女 儿
qst_escort_peasants|护 送 农 民 到 {s3} 
qst_eliminate_bandits_infesting_village|从 强 盗 手 里 解 救 {s7} 
qst_visit_lady|拜 访 女 士 
qst_formal_marriage_proposal|正 式 求 婚 
qst_obtain_liege_blessing|正 式 求 婚 
qst_wed_betrothed|和 你 的 未 婚 妻 成 婚 
qst_wed_betrothed_female|和 你 的 未 婚 夫 成 婚 
qst_join_faction|宣 誓 效 忠 于 {s1} 
qst_rebel_against_kingdom|帮 助 {s13}取 得 {s14}王 位 
qst_consult_with_minister|和 首 席 大 臣 商 议 
qst_organize_feast|组 织 宴 会 
qst_resolve_dispute|解 决 争 端 
qst_offer_gift|获 取 礼 物 
qst_denounce_lord|指 控 领 主 
qst_intrigue_against_lord|密 谋 反 对 领 主 
qst_track_down_bandits|追 捕 强 盗 
qst_track_down_provocateurs|追 捕 奸 细 
qst_retaliate_for_border_incident|报 复 边 境 事 件 
qst_raid_caravan_to_start_war|攻 击 商 队 挑 起 战 争 
qst_cause_provocation|驱 狼 吞 虎 
qst_rescue_prisoner|营 救 俘 虏 
qst_destroy_bandit_lair|摧 毁 强 盗 老 巢 
qst_ghost_lady|幽 灵 女 士 
qst_marauding_jatu|帮 助 诺 多 
qst_order_bounty|为 {s9}执 行 赏 金 猎 人 任 务
qst_order_tournament|为 {s9}赢 得 在 {s8}的 比 赛 
qst_order_challenge|在 沙 场 上 为 {s9}赢 得 声 望 
qst_order_grandmaster|大 团 长 
qst_order_rivalry|骑 士 团 的 竞 争 
qst_collect_men|召 集 五 名 手 下 
qst_learn_where_merchant_brother_is|打 听 人 质 所 在 
qst_save_relative_of_merchant|攻 打 强 盗 老 巢 
qst_save_town_from_bandits|从 强 盗 手 中 拯 救 城 市 
qst_old_tale_part_1|古 老 传 说 (阶 段 1)
qst_old_tale_part_2|古 老 传 说 (阶 段 2)
qst_horse_armor|马 铠 
qst_the_test_of_the_new_king|新 王 的 考 验 
qst_fend_off_the_killers|击 退 杀 手 
qst_seek_for_the_book|寻 找 《 长 歌 港 守 城 记 》 
qst_beat_wolfbode|击 败 预 兆 之 狼  
qst_astraea_aid_snd|神 选 者 与 圣 骑 士 
qst_beat_eyegrim|击 败 恶 魔 之 王 
qst_seek_for_Wendiiaelf|解 救 诺 多 少 女 游 侠 
qst_fight_against_jatu|共 抗 迦 图 
qst_league_with_melitine|海 外 之 客 
qst_rebuild_rose_knight|再 绽 玫 瑰 
qst_maiden_fantasy_and_knight_story|少 女 ， 幻 想 ， 骑 士 谭 
qst_quests_end|Quests End
