
qstr_Next_Page|下 一 页 
qstr_Game_Rules:^|游 戏 规 则 :^
qstr_0|0
qstr_Show_game_rules|显 示 游 戏 规 则 
qstr_What_will_be_the_nam|你 的 队 伍 名 称 ？ 
qstr_Continue...|继 续 … … 
qstr_What_will_be_the_name|你 的 秘 密 营 地 名 称 ？ 
qstr_What_shall_be_the_ne|你 的 骑 士 团 据 点 名 称 ？ 
qstr_What_shall_be_the_ti|你 的 男 性 封 臣 头 衔 名 称 ？ 
qstr_What_shall_be_the_tit|你 的 女 性 封 臣 头 衔 名 称 ？ 
qstr_Use_specified_titles|使 用 输 入 的 名 称 。 
qstr_Use_titles_default_f|使 用 势 力 文 化 的 预 设 名 称 。 
qstr_What_shall_be_the_na|你 的 骑 士 团 名 称 ？ 
qstr_Order_of_the|骑 士 团 名 称 : 
qstr_Knights_of_{s0}|{s0}骑 士 团 
qstr_What_shall_be_called|你 的 骑 士 团 骑 士 名 称 ？ (单 数 和 复 数 )
qstr_What_shall_be_called_|你 的 骑 士 团 军 士 名 称 ？ (单 数 和 复 数 )
qstr_Candidate_#1:_{s1}|一 号 侯 选 者 :{s1}
qstr_Candidate_#2:_{s1}|二 号 侯 选 者 :{s1}
qstr_{s3}_of_{s4}_wishes_|{s4}的 {s3}想 选 出 一 个 新 元 帅 ， 并 向 他 的 封 臣 们 征 集 一 些 建 议 ， 目 前 {s1}和 {s2}是 最 有 可 能 的 候 选 人 。 
qstr_Who_do_you_wish_to_s|你 想 要 支 持 谁 ？ 
qstr_{s1}_gives_his_suppo|{s1}支 持 {s2}。 
qstr_Number_of_Supporters|支 持 者 的 数 目 :{reg0}
qstr_{s2}_has_heard_his_v|{s2}听 从 了 他 的 封 臣 们 的 建 议 ， 选 择 了 {s1}来 做 {s3}的 元 帅 。 
qstr_Action|行 动 
qstr_Mount|上 马 
qstr_Attack_Order|进 攻 
qstr_Stand_Ground|站 岗 
qstr_Charge|冲 锋 
qstr_Follow_Me|随 我 来 
