
trp_multiplayer_profile_troop_male|联 机 男 性 玩 家 角 色 
trp_multiplayer_profile_troop_male_pl|联 机 男 性 玩 家 角 色 
trp_multiplayer_profile_troop_female|联 机 女 性 玩 家 角 色 
trp_multiplayer_profile_troop_female_pl|联 机 女 性 玩 家 角 色 
trp_temp_troop|临 时 部 队 
trp_temp_troop_pl|临 时 部 队 
trp_find_item_cheat|作 弊 ！
trp_find_item_cheat_pl|作 弊 ！
trp_random_town_sequence|随 机 城 市 序 列 
trp_random_town_sequence_pl|随 机 城 市 序 列 
trp_tournament_participants|竞 技 场 选 手 
trp_tournament_participants_pl|竞 技 场 选 手 
trp_tutorial_maceman|钉 锤 手 
trp_tutorial_maceman_pl|钉 锤 手 
trp_tutorial_archer|弓 箭 手 
trp_tutorial_archer_pl|弓 箭 手 
trp_tutorial_swordsman|剑 士 
trp_tutorial_swordsman_pl|剑 士 
trp_novice_fighter|初 级 斗 士 
trp_novice_fighter_pl|初 级 斗 士 
trp_regular_fighter|正 规 斗 士 
trp_regular_fighter_pl|正 规 斗 士 
trp_veteran_fighter|资 深 斗 士 
trp_veteran_fighter_pl|资 深 斗 士 
trp_champion_fighter|角 斗 冠 军 
trp_champion_fighter_pl|角 斗 冠 军 
trp_arena_training_fighter_1|新 募 斗 士 
trp_arena_training_fighter_1_pl|新 募 斗 士 
trp_arena_training_fighter_2|初 级 斗 士 
trp_arena_training_fighter_2_pl|初 级 斗 士 
trp_arena_training_fighter_3|受 训 斗 士 
trp_arena_training_fighter_3_pl|受 训 斗 士 
trp_arena_training_fighter_4|雇 佣 斗 士 
trp_arena_training_fighter_4_pl|雇 佣 斗 士 
trp_arena_training_fighter_5|雇 佣 斗 士 
trp_arena_training_fighter_5_pl|雇 佣 斗 士 
trp_arena_training_fighter_6|资 深 斗 士 
trp_arena_training_fighter_6_pl|资 深 斗 士 
trp_arena_training_fighter_7|老 练 斗 士 
trp_arena_training_fighter_7_pl|老 练 斗 士 
trp_arena_training_fighter_8|知 名 斗 士 
trp_arena_training_fighter_8_pl|知 名 斗 士 
trp_arena_training_fighter_9|明 星 斗 士 
trp_arena_training_fighter_9_pl|明 星 斗 士 
trp_arena_training_fighter_10|角 斗 冠 军 
trp_arena_training_fighter_10_pl|角 斗 冠 军 
trp_arena_training_fighter_fem_1|新 募 斗 士 
trp_arena_training_fighter_fem_1_pl|新 募 斗 士 
trp_arena_training_fighter_fem_2|初 级 斗 士 
trp_arena_training_fighter_fem_2_pl|初 级 斗 士 
trp_arena_training_fighter_fem_3|受 训 斗 士 
trp_arena_training_fighter_fem_3_pl|受 训 斗 士 
trp_arena_training_fighter_fem_4|雇 佣 斗 士 
trp_arena_training_fighter_fem_4_pl|雇 佣 斗 士 
trp_arena_training_fighter_fem_5|雇 佣 斗 士 
trp_arena_training_fighter_fem_5_pl|雇 佣 斗 士 
trp_arena_training_fighter_fem_6|资 深 斗 士 
trp_arena_training_fighter_fem_6_pl|资 深 斗 士 
trp_arena_training_fighter_fem_7|老 练 斗 士 
trp_arena_training_fighter_fem_7_pl|老 练 斗 士 
trp_arena_training_fighter_fem_8|知 名 斗 士 
trp_arena_training_fighter_fem_8_pl|知 名 斗 士 
trp_arena_training_fighter_fem_9|明 星 斗 士 
trp_arena_training_fighter_fem_9_pl|明 星 斗 士 
trp_arena_training_fighter_fem_10|角 斗 冠 军 
trp_arena_training_fighter_fem_10_pl|角 斗 冠 军 
trp_arena_training_fighter_dshar_1|新 募 斗 士 
trp_arena_training_fighter_dshar_1_pl|新 募 斗 士 
trp_arena_training_fighter_dshar_2|初 级 斗 士 
trp_arena_training_fighter_dshar_2_pl|初 级 斗 士 
trp_arena_training_fighter_dshar_3|受 训 斗 士 
trp_arena_training_fighter_dshar_3_pl|受 训 斗 士 
trp_arena_training_fighter_dshar_4|雇 佣 斗 士 
trp_arena_training_fighter_dshar_4_pl|雇 佣 斗 士 
trp_arena_training_fighter_dshar_5|雇 佣 斗 士 
trp_arena_training_fighter_dshar_5_pl|雇 佣 斗 士 
trp_arena_training_fighter_dshar_6|资 深 斗 士 
trp_arena_training_fighter_dshar_6_pl|资 深 斗 士 
trp_arena_training_fighter_dshar_7|老 练 斗 士 
trp_arena_training_fighter_dshar_7_pl|老 练 斗 士 
trp_arena_training_fighter_dshar_8|知 名 斗 士 
trp_arena_training_fighter_dshar_8_pl|知 名 斗 士 
trp_arena_training_fighter_dshar_9|明 星 斗 士 
trp_arena_training_fighter_dshar_9_pl|明 星 斗 士 
trp_arena_training_fighter_dshar_10|角 斗 冠 军 
trp_arena_training_fighter_dshar_10_pl|角 斗 冠 军 
trp_arena_training_fighter_dshar_fem_1|新 募 斗 士 
trp_arena_training_fighter_dshar_fem_1_pl|新 募 斗 士 
trp_arena_training_fighter_dshar_fem_2|初 级 斗 士 
trp_arena_training_fighter_dshar_fem_2_pl|初 级 斗 士 
trp_arena_training_fighter_dshar_fem_3|受 训 斗 士 
trp_arena_training_fighter_dshar_fem_3_pl|受 训 斗 士 
trp_arena_training_fighter_dshar_fem_4|雇 佣 斗 士 
trp_arena_training_fighter_dshar_fem_4_pl|雇 佣 斗 士 
trp_arena_training_fighter_dshar_fem_5|雇 佣 斗 士 
trp_arena_training_fighter_dshar_fem_5_pl|雇 佣 斗 士 
trp_arena_training_fighter_dshar_fem_6|资 深 斗 士 
trp_arena_training_fighter_dshar_fem_6_pl|资 深 斗 士 
trp_arena_training_fighter_dshar_fem_7|老 练 斗 士 
trp_arena_training_fighter_dshar_fem_7_pl|老 练 斗 士 
trp_arena_training_fighter_dshar_fem_8|知 名 斗 士 
trp_arena_training_fighter_dshar_fem_8_pl|知 名 斗 士 
trp_arena_training_fighter_dshar_fem_9|明 星 斗 士 
trp_arena_training_fighter_dshar_fem_9_pl|明 星 斗 士 
trp_arena_training_fighter_dshar_fem_10|角 斗 冠 军 
trp_arena_training_fighter_dshar_fem_10_pl|角 斗 冠 军 
trp_cattle|牛 
trp_cattle_pl|牛 
trp_farmer|农 民 
trp_farmer_pl|农 民 
trp_townsman|市 民 
trp_townsman_pl|市 民 
trp_watchman|雇 佣 剑 士 
trp_watchman_pl|雇 佣 剑 士 
trp_caravan_guard|雇 佣 步 兵 
trp_caravan_guard_pl|雇 佣 步 兵 
